m_GEOID,unit,mean_ndvi,msa_GEOID
10420,msa,0.5608840646088953,10420
10420,msau,0.5662747010892569,10420
10580,msa,0.5835870684301498,10580
10580,msau,0.5853071634591045,10580
10900,msa,0.5914883912866087,10900
10900,msau,0.5918593160917576,10900
11020,msa,0.5933246300565579,11020
11020,msau,0.5953787830226214,11020
11100,msa,0.3007223013690365,11100
11100,msau,0.3007713837080029,11100
11700,msa,0.6845930619667515,11700
11700,msau,0.6854105505802446,11700
12060,msa,0.6670266429494729,12060
12060,msau,0.6677879183639893,12060
12100,msa,0.5826294169362374,12100
12100,msau,0.5862875591454204,12100
12260,msa,0.6704469960673437,12260
12260,msau,0.6708340614758668,12260
12420,msa,0.5228597676442054,12420
12420,msau,0.5232571806579625,12420
12580,msa,0.5879879690757535,12580
12580,msau,0.5912780962397927,12580
12980,msa,0.4894368166742232,12980
12980,msau,0.4899153485704796,12980
13020,msa,0.4250163939899413,13020
13020,msau,0.42543938655509483,13020
13140,msa,0.6456997808096266,13140
13140,msau,0.6466222715121865,13140
13780,msa,0.5771060765989183,13780
13780,msau,0.578460137001521,13780
13820,msa,0.6972080252132461,13820
13820,msau,0.6993983145359393,13820
14460,msa,0.6072185250950288,14460
14460,msau,0.6136754762605396,14460
14860,msa,0.6181978312552088,14860
14860,msau,0.620707517486661,14860
15380,msa,0.5125973978402724,15380
15380,msau,0.516494787917494,15380
15940,msa,0.5797669423804181,15940
15940,msau,0.5814280321707249,15940
16620,msa,0.6515958474425175,16620
16620,msau,0.6521232897079032,16620
16740,msa,0.6643716798602688,16740
16740,msau,0.6648237086337089,16740
16860,msa,0.674750627963405,16860
16860,msau,0.6764844611826523,16860
16980,msa,0.4404428277944537,16980
16980,msau,0.44468185127739074,16980
17140,msa,0.5903295240046925,17140
17140,msau,0.5908657888261567,17140
17460,msa,0.5304531830412577,17460
17460,msau,0.5375907251894199,17460
17900,msa,0.6688659133889736,17900
17900,msau,0.6691643331485052,17900
17980,msa,0.7009251947839577,17980
17980,msau,0.7013923329179684,17980
18140,msa,0.5230622965745383,18140
18140,msau,0.5238369661541343,18140
18180,msa,0.6277040248796627,18180
18180,msau,0.6277584387397038,18180
19100,msa,0.4752250520571318,19100
19100,msau,0.47608923408751874,19100
19340,msa,0.4334834787302329,19340
19340,msau,0.43354214710398936,19340
19430,msa,0.49165887425218874,19430
19430,msau,0.49215318848584994,19430
19500,msa,0.45056642888833515,19500
19500,msau,0.4506835924848295,19500
19740,msa,0.3023129449370321,19740
19740,msau,0.30234356061722645,19740
19780,msa,0.4430751839208182,19780
19780,msau,0.4434505810557747,19780
19820,msa,0.4827675567534592,19820
19820,msau,0.48806818635496985,19820
20220,msa,0.44962690566534613,20220
20220,msau,0.450093781134638,20220
20260,msa,0.4811717914263361,20260
20260,msau,0.48130960343751084,20260
20500,msa,0.6852317190882536,20500
20500,msau,0.6856955015820254,20500
21300,msa,0.5828474707421949,21300
21300,msau,0.5851474700065175,21300
21340,msa,0.17528589103613101,21340
21340,msau,0.1753680411482026,21340
21500,msa,0.5366084850025098,21500
21500,msau,0.5396542223544338,21500
21780,msa,0.5173235387280428,21780
21780,msau,0.518300683486601,21780
22420,msa,0.5027953636996164,22420
22420,msau,0.5052290115701448,22420
23060,msa,0.4637272680604982,23060
23060,msau,0.46415413111616183,23060
23420,msa,0.36121127248169943,23420
23420,msau,0.36136094143618985,23420
24340,msa,0.48808947718523554,24340
24340,msau,0.4894185774314121,24340
24660,msa,0.6604394419221294,24660
24660,msau,0.6613119099077296,24660
25420,msa,0.6020956129883734,25420
25420,msau,0.6030641479255077,25420
25540,msa,0.6224453671269724,25540
25540,msau,0.6252879592762729,25540
26420,msa,0.5725343039841382,26420
26420,msau,0.5734130184446152,26420
26580,msa,0.6512742099035399,26580
26580,msau,0.6519479925656707,26580
26900,msa,0.49467258226162486,26900
26900,msau,0.4957177219189622,26900
27100,msa,0.5080389946017381,27100
27100,msau,0.5092658429726336,27100
27140,msa,0.6852634092189399,27140
27140,msau,0.6855985333886875,27140
